id,id.1,weight
48,4987,1
48,10349,1
49,3637,1
49,7796,1
49,18242,1
49,23459,1
49,25434,1
50,13916,1
50,16563,1
52,10788,1
52,13045,1
52,17129,1
53,5475,1
53,7710,1
53,9385,1
53,17074,1
53,18235,1
53,23381,1
55,756,1
56,3258,1
56,6322,1
58,1813,1
58,3487,1
58,5485,1
58,5488,1
58,7710,1
58,8436,1
58,8728,1
58,11654,1
58,12484,1
58,12727,1
58,13112,1
58,13195,1
58,14983,1
58,15902,1
58,17749,1
58,18603,1
58,21103,1
58,21406,1
58,21846,1
58,23494,1
59,10863,1
59,14084,1
59,14932,1
59,15607,1
59,17954,1
59,19871,1
59,21700,1
59,24956,1
61,22871,1
61,23656,1
62,23801,1
64,2284,1
64,3445,1
64,5434,1
64,6163,1
64,9565,1
64,10847,1
64,11289,1
64,11524,1
64,15995,1
64,18973,1
64,19291,1
64,20785,1
64,23592,1
69,14227,1
69,15540,1
70,10672,1
71,1528,1
72,12956,1
72,21509,1
73,7979,1
74,370,1
74,760,1
74,1964,1
74,11348,1
74,17978,1
74,22975,1
75,9582,1
75,13114,1
75,16258,1
75,19139,1
75,20775,1
76,8402,1
76,11769,1
78,21051,1
80,20745,1
82,3827,1
84,1224,1
88,12829,1
88,21139,1
90,5003,1
90,17426,1
91,601,1
91,1113,1
91,11286,1
91,11483,1
91,11684,1
91,12249,1
91,15135,1
91,15981,1
91,17607,1
91,21749,1
91,23981,1
92,15213,1
93,7123,1
93,20910,1
93,24570,1
96,707,1
96,3922,1
96,4647,1
96,9533,1
96,11569,1
96,12545,1
96,14864,1
96,17177,1
97,1506,1
97,7142,1
97,10624,1
97,15009,1
97,18062,1
97,21286,1
97,24433,1
98,6916,1
98,9141,1
98,9473,1
98,10336,1
98,10349,1
98,13851,1
98,14675,1
98,15614,1
98,20056,1
101,1013,1
101,20547,1
101,24767,1
102,746,1
102,21170,1
102,23964,1
102,23986,1
103,2355,1
103,3737,1
103,8004,1
103,13285,1
103,13343,1
103,15568,1
103,16214,1
103,16823,1
103,18140,1
105,2639,1
105,11254,1
106,8652,1
107,2518,1
107,11135,1
107,21234,1
109,4124,1
110,11959,1
110,15683,1
110,25434,1
111,11654,1
111,21766,1
112,20964,1
112,22712,1
113,3019,1
113,8908,1
115,11129,1
116,15478,1
116,17193,1
117,22465,1
118,15054,1
118,17872,1
118,22598,1
119,1278,1
120,15478,1
120,18086,1
120,22120,1
120,22886,1
120,24678,1
121,834,1
121,8360,1
121,8816,1
121,13199,1
121,13530,1
121,23676,1
122,3072,1
122,6331,1
125,3433,1
125,5926,1
125,9825,1
125,17245,1
125,18304,1
125,23717,1
125,24501,1
126,238,1
126,2315,1
126,20990,1
127,5852,1
127,10221,1
127,20459,1
127,21929,1
128,238,1
128,7595,1
128,15565,1
129,9425,1
129,10762,1
129,14807,1
129,16879,1
129,18344,1
129,23705,1
130,1022,1
130,1113,1
130,8269,1
130,22333,1
131,10430,1
131,12824,1
132,6788,1
132,7116,1
132,9211,1
132,10404,1
132,18324,1
132,19245,1
132,19812,1
132,21175,1
132,22086,1
132,22212,1
138,3352,1
138,19393,1
138,22764,1
139,8297,1
139,15798,1
140,6972,1
140,9536,1
140,10187,1
140,11135,1
140,11264,1
140,16195,1
140,16934,1
140,17047,1
140,17071,1
140,17440,1
140,22952,1
141,4874,1
141,21175,1
142,5232,1
143,2022,1
143,10603,1
143,14602,1
143,15025,1
143,15866,1
143,17480,1
143,18243,1
143,24713,1
143,25128,1
145,3471,1
145,4659,1
145,7368,1
145,11635,1
145,18131,1
145,18245,1
145,19649,1
145,22039,1
146,2831,1
146,9585,1
147,2049,1
147,4433,1
147,12332,1
147,13946,1
147,19865,1
148,14029,1
148,18275,1
148,22427,1
151,8727,1
152,5123,1
152,7166,1
152,13294,1
152,14385,1
152,16775,1
152,22653,1
152,24490,1
154,13503,1
155,15212,1
155,17440,1
156,1639,1
156,2440,1
156,4426,1
156,7768,1
156,12707,1
156,20296,1
156,22552,1
156,22597,1
160,2476,1
160,4892,1
160,5566,1
160,6463,1
160,12846,1
160,14850,1
160,16097,1
160,16209,1
160,16332,1
160,21238,1
160,24239,1
160,24804,1
163,9180,1
164,6957,1
164,8517,1
164,13005,1
164,16581,1
164,18345,1
164,21683,1
164,22216,1
164,23549,1
164,25495,1
165,11971,1
166,2829,1
167,4583,1
167,9788,1
167,11140,1
167,11625,1
167,22932,1
168,21819,1
169,2192,1
170,2477,1
170,14957,1
170,20431,1
171,4672,1
171,6037,1
171,6297,1
171,6659,1
171,14232,1
171,16175,1
171,19518,1
171,19644,1
172,14212,1
173,549,1
174,462,1
174,19671,1
175,2511,1
175,2573,1
175,19218,1
177,8215,1
177,17325,1
179,12344,1
179,19109,1
180,13224,1
180,21558,1
181,181,1
181,1419,1
181,3065,1
181,5086,1
181,6949,1
181,10336,1
181,15916,1
181,18219,1
182,6597,1
182,9329,1
182,9391,1
182,17730,1
182,20589,1
183,1301,1
183,2010,1
183,8639,1
183,22990,1
184,4740,1
184,8091,1
184,20461,1
185,16645,1
