id,id
12377,388314
12383,390325
12383,388076
12407,673956
12407,20474
12407,472549
12407,21084
12407,21085
12421,335684
12442,673999
12448,334496
12465,20205
12504,390987
12519,673980
12519,95215
12520,673980
12520,674434
12520,95215
12521,594902
12521,472567
12521,595985
12521,514954
12531,389280
12540,335149
12540,388498
12540,388694
12557,673985
12578,473112
12648,674348
12648,335858
12656,334782
12656,472676
12668,21473
12669,673928
12669,674011
12669,107241
12669,20877
12669,21115
12669,674348
12678,673999
12697,472702
12697,472842
12697,473115
12716,473229
12716,594451
12716,674058
12716,596041
12716,596028
12716,21681
12717,20469
12717,599155
12717,473008
12717,20907
12717,21115
12717,21232
12739,95215
12749,387920
12823,596035
12835,95245
12835,595044
12835,596035
12842,20332
12842,20333
12849,594621
12849,595040
12854,388314
12860,673928
12860,674070
12860,674331
12860,95896
12860,674836
12860,674879
12860,674909
12864,597887
12864,673928
12864,643265
12864,599155
12864,674588
12864,299369
12875,389834
12899,387652
12915,388568
12921,388586
12947,19871
12947,20938
12978,390369
12997,12997
12997,16278
13029,334610
13029,334833
13043,334936
13050,335235
13063,594847
13073,390305
13089,387372
13102,387717
13102,387747
13108,20923
13108,21414
13114,473115
13114,388498
13118,387652
13120,389542
13126,390953
13126,390973
13131,390362
13147,673999
13147,598592
13150,387920
13194,387362
13222,390902
13226,388981
13242,20723
13293,388521
13303,335951
13309,674189
13309,95215
13310,95215
13310,674189
13315,299372
13315,517044
13319,20955
13323,674085
13323,642336
13323,598771
13323,674684
13324,472706
13326,473095
13326,673956
13326,299372
13326,107005
13326,472549
13326,595098
13326,21473
13335,388314
13357,20838
13358,20403
13358,21067
13358,334690
13360,107975
13380,334765
13389,389078
13399,20141
13431,20383
13434,674198
13434,95075
13437,388461
13437,391160
13458,389830
13464,335149
13464,388933
13475,390369
13475,387783
13526,391094
13556,389356
13560,472510
13560,642698
13574,674953
13591,599523
13614,595522
13616,473095
13616,673956
13616,472911
13616,595235
13616,674336
13630,389356
13653,387652
13658,389280
13662,387358
13662,388831
13662,362453
13662,389385
13677,389834
13678,389834
13679,389513
13679,389669
13679,108117
13683,95245
13683,595447
13683,107702
13683,595961
13683,596035
13700,391333
13704,387358
13713,472529
13726,20077
13726,20075
13726,20595
13726,21414
13726,21472
13726,21575
13726,20152
13726,20090
13739,12939
13739,389228
13739,389540
13739,389568
13751,389286
13764,594499
13764,598533
13764,642422
13764,599155
13768,595316
13768,595149
13779,594623
13779,95481
13779,595178
13782,388698
13782,389834
13805,597946
13805,598819
13805,473140
13805,473380
13807,472475
13807,472343
13807,598860
13809,472745
13816,390680
13816,387652
13826,389177
13839,387798
13851,594501
13851,595268
13851,594896
13851,20567
13855,594744
13855,334859
13855,95356
13855,335808
13855,335858
13855,595970
13855,595990
13863,390080
13873,473526
13873,595300
13879,389175
13884,389578
13887,596024
13887,595551
13887,595817
13887,20132
13889,335248
13894,391333
13895,594541
13895,595993
13895,21084
13917,387836
13917,389556
13917,13917
13923,19891
13923,21604
13923,107672
13923,21602
13923,19933
13923,106957
13923,107420
13925,674394
13927,595867
13927,595326
13927,20025
13927,20189
13927,108447
13927,20945
13951,387761
13953,674108
13958,106890
13958,20267
13972,473181
13975,673702
13975,673714
13975,673923
13975,674408
13981,595559
13981,389468
13981,674348
13981,106833
13981,674011
13992,335233
13997,388695
13997,389639
13997,391012
13999,335313
13999,335315
14013,390369
14022,514954
14073,595449
14084,387316
14096,595040
14096,674362
14096,674642
14121,334610
14121,335039
14121,595414
14121,95907
14121,595771
14128,387553
14153,472475
14153,472343
14153,473084
14155,598327
14155,673921
14161,19855
14161,20822
14161,595867
14161,21174
14220,19930
14220,107241
14220,21233
14220,108328
